Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
RIL_8W_EP13_3	NCBI:4577	Zea	mays	sample collection	pot_68	plant	[plant]68
RIL_8W_EP13_30	NCBI:4577	Zea	mays	sample collection	pot_69	plant	[plant]69
RIL_8W_EP13_31	NCBI:4577	Zea	mays	sample collection	pot_70	plant	[plant]70
RIL_8W_EP13_33	NCBI:4577	Zea	mays	sample collection	pot_71	plant	[plant]71
RIL_8W_EP13_36	NCBI:4577	Zea	mays	sample collection	pot_72	plant	[plant]72
RIL_8W_EP13_4	NCBI:4577	Zea	mays	sample collection	pot_73	plant	[plant]73
RIL_8W_EP13_41	NCBI:4577	Zea	mays	sample collection	pot_74	plant	[plant]74
RIL_8W_EP13_60	NCBI:4577	Zea	mays	sample collection	pot_76	plant	[plant]76
RIL_8W_EP14_11	NCBI:4577	Zea	mays	sample collection	pot_77	plant	[plant]77
RIL_8W_EP14_12	NCBI:4577	Zea	mays	sample collection	pot_78	plant	[plant]78
RIL_8W_EP14_32	NCBI:4577	Zea	mays	sample collection	pot_81	plant	[plant]81
RIL_8W_EP14_36	NCBI:4577	Zea	mays	sample collection	pot_82	plant	[plant]82
RIL_8W_EP14_39	NCBI:4577	Zea	mays	sample collection	pot_83	plant	[plant]83
RIL_8W_EP14_5	NCBI:4577	Zea	mays	sample collection	pot_84	plant	[plant]84
RIL_8W_EP14_67	NCBI:4577	Zea	mays	sample collection	pot_85	plant	[plant]85
RIL_8W_EP14_73	NCBI:4577	Zea	mays	sample collection	pot_87	plant	[plant]87
RIL_8W_EP14_84	NCBI:4577	Zea	mays	sample collection	pot_88	plant	[plant]88
RIL_8W_EP14_92	NCBI:4577	Zea	mays	sample collection	pot_89	plant	[plant]89
RIL_8W_EP15_103	NCBI:4577	Zea	mays	sample collection	pot_93	plant	[plant]93
RIL_8W_EP15_107	NCBI:4577	Zea	mays	sample collection	pot_94	plant	[plant]94
RIL_8W_EP15_111	NCBI:4577	Zea	mays	sample collection	pot_95	plant	[plant]95
RIL_8W_EP15_23	NCBI:4577	Zea	mays	sample collection	pot_98	plant	[plant]98
RIL_8W_EP15_24	NCBI:4577	Zea	mays	sample collection	pot_99	plant	[plant]99
RIL_8W_EP15_45	NCBI:4577	Zea	mays	sample collection	pot_100	plant	[plant]100
RIL_8W_EP15_6	NCBI:4577	Zea	mays	sample collection	pot_101	plant	[plant]101
RIL_8W_EP15_73	NCBI:4577	Zea	mays	sample collection	pot_102	plant	[plant]102
RIL_8W_EP15_8	NCBI:4577	Zea	mays	sample collection	pot_103	plant	[plant]103
RIL_8W_EP15_84	NCBI:4577	Zea	mays	sample collection	pot_104	plant	[plant]104
RIL_8W_EP15_9	NCBI:4577	Zea	mays	sample collection	pot_105	plant	[plant]105
RIL_8W_EP15_93	NCBI:4577	Zea	mays	sample collection	pot_106	plant	[plant]106
RIL_8W_EP16_10	NCBI:4577	Zea	mays	sample collection	pot_107	plant	[plant]107
RIL_8W_EP16_22	NCBI:4577	Zea	mays	sample collection	pot_109	plant	[plant]109
RIL_8W_EP16_29	NCBI:4577	Zea	mays	sample collection	pot_110	plant	[plant]110
RIL_8W_EP16_51	NCBI:4577	Zea	mays	sample collection	pot_111	plant	[plant]111
RIL_8W_EP16_55	NCBI:4577	Zea	mays	sample collection	pot_112	plant	[plant]112
RIL_8W_EP16_6	NCBI:4577	Zea	mays	sample collection	pot_113	plant	[plant]113
RIL_8W_EP16_75	NCBI:4577	Zea	mays	sample collection	pot_114	plant	[plant]114
RIL_8W_EP16_81	NCBI:4577	Zea	mays	sample collection	pot_115	plant	[plant]115
RIL_8W_EP16_83	NCBI:4577	Zea	mays	sample collection	pot_116	plant	[plant]116
RIL_8W_EP16_86	NCBI:4577	Zea	mays	sample collection	pot_117	plant	[plant]117
