observationLevels[BLOCK]	observationLevels[BLOCK>PLOT>PLANT]	observationLevels[BLOCK>PLOT]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	NB_SHOOT_II_PLANT	NB_NCP_PLANT	NB_INFLO_NCP_PLANT	NB_SHOOTS_SPURS_PLANT	NB_SHOOT_ALL_M2	NB_INFLO_II_PLANT	FERT_SHOOT_II	NB_INFLO_SPURS_PLANT	FERT_SPURS	NB_SHOOT_I_PLANT	HS_Tmax_B02_15FB	BUD_DATE	FERT_PRIM	FERT_NCP	DOY_BUD	FERT_SHOOT_I	NB_SHOOT_ALL_PLANT	FERT_GLOB	NB_SHOOT_I_M2	NB_INFLO_ALL_PLANT	NB_INFLO_I_PLANT
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA						0															
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA			0																		
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA																				27	
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA																1.9230769					
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA																	18				
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA									0.6666667												
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA							DM														
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA														0							
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA																		1.5			
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA													2.0769231								
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA																			6.3030305		
3	26553.28	26553	2992365-2009	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2009	NA					8.727273																
1	26635.13	26635	2992462-2006	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2006	NA												2006-04-24									
1	26635.13	26635	2992462-2006	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2006	NA															114.928571428572						
1	26635.13	26635	2992462-2006	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2006	NA											575.9										
1	26635.13	26635	2992462-2008	gnpis.lot:'0033E'	26	13	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dNWDQwRw==	Riesling*Gewurztraminer0033E	41207Col0033E	2008	NA												2008-04-26									
