Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
Riesling*Gewurztraminer0025E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0025E	https://doi.org/10.15454/A2JEQK	sample collection	26662	BLOCK>PLOT	[X]27; [Y]6; [BLOCK>PLOT]26662; [BLOCK]1
Riesling*Gewurztraminer0025E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0025E	https://doi.org/10.15454/A2JEQK	sample collection	26662.6	BLOCK>PLOT>PLANT	[X]27; [Y]6; [plant]26662.6; [BLOCK>PLOT>PLANT]26662.6; [BLOCK>PLOT]26662; [BLOCK]1
Riesling*Gewurztraminer0025E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0025E	https://doi.org/10.15454/A2JEQK	sample collection	26430	BLOCK>PLOT	[X]19; [Y]22; [BLOCK>PLOT]26430; [BLOCK]2
Riesling*Gewurztraminer0026E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0026E	https://doi.org/10.15454/CKRBRF	sample collection	26707.37	BLOCK>PLOT>PLANT	[X]28; [Y]37; [plant]26707.37; [BLOCK>PLOT>PLANT]26707.37; [BLOCK>PLOT]26707; [BLOCK]3
Riesling*Gewurztraminer0026E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0026E	https://doi.org/10.15454/CKRBRF	sample collection	26698.18	BLOCK>PLOT>PLANT	[X]28; [Y]18; [plant]26698.18; [BLOCK>PLOT>PLANT]26698.18; [BLOCK>PLOT]26698; [BLOCK]2
Riesling*Gewurztraminer0026E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0026E	https://doi.org/10.15454/CKRBRF	sample collection	26753	BLOCK>PLOT	[X]30; [Y]8; [BLOCK>PLOT]26753; [BLOCK]1
Riesling*Gewurztraminer0027E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0027E	https://doi.org/10.15454/IBRGHT	sample collection	26399	BLOCK>PLOT	[X]18; [Y]20; [BLOCK>PLOT]26399; [BLOCK]2
Riesling*Gewurztraminer0027E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0027E	https://doi.org/10.15454/IBRGHT	sample collection	26424.11	BLOCK>PLOT>PLANT	[X]19; [Y]11; [plant]26424.11; [BLOCK>PLOT>PLANT]26424.11; [BLOCK>PLOT]26424; [BLOCK]1
Riesling*Gewurztraminer0027E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0027E	https://doi.org/10.15454/IBRGHT	sample collection	26497.37	BLOCK>PLOT>PLANT	[X]21; [Y]37; [plant]26497.37; [BLOCK>PLOT>PLANT]26497.37; [BLOCK>PLOT]26497; [BLOCK]3
Riesling*Gewurztraminer0027E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0027E	https://doi.org/10.15454/IBRGHT	sample collection	26424	BLOCK>PLOT	[X]19; [Y]10; [BLOCK>PLOT]26424; [BLOCK]1
