observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Circum1	Height1	REP	Shoots3	Circum2	Syllep1	Height2
2889537-2004	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2004	2004-12-01T01:00:00Z					161.19999999999999		
2889537-2004	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2004	2004-01-01T01:00:00Z		293.89999999999998					
2889537-2004	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2004	2004-12-01T01:00:00Z							818.3
2889537-2004	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2004	2004-01-01T01:00:00Z						37.33	
2889537-2004	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2004	2004-12-01T01:00:00Z			5				
2889537-2005	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2005	2005-05-01T02:00:00Z				11.785488999999998			
2889537-2005	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2005	2005-05-01T02:00:00Z			5				
2889576-2004	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2004	2004-01-01T01:00:00Z	64.239999999999995						
2889576-2004	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2004	2004-12-01T01:00:00Z					166.78		
2889576-2004	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2004	2004-01-01T01:00:00Z		294.60000000000002					
2889576-2004	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2004	2004-12-01T01:00:00Z							807.4
2889576-2004	gnpis.lot:'661300427'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NFVUlJRg==	661300427	661300427	2004	2004-01-01T01:00:00Z						23.03	
