observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	r	rdt	sept	ps
2833551-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA					3,8	
2833546-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA			132,9			
2833546-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA				53		
2833546-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA	98					
2833546-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA		142				
2833546-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA						78,2
2833546-2008	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2008	NA					3,8	
2833554-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA			67,7			
2833554-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA				27		
2833554-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA	75					
2833554-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA		136				
2833554-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA						62,4
2833554-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA					8	
2833553-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA			83,8			
2833553-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA				33,4		
2833553-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA	82					
2833553-2008	gnpis.lot:'Caphorn'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0lINEk4Ug==	CAPHORN	20443	2008	NA		138				
