observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	r	rdt
2791722-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA	12,9		
2791735-2003	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2003	NA		103,9	
2791735-2003	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2003	NA			72,5
2791735-2003	gnpis.lot:'Isengrain'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1laWkdZQg==	ISENGRAIN	13433	2003	NA			
2791721-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA		105,8	
2791721-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA			73,9
2791721-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA			
2791668-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA		104,3	
2791668-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA			100
2791668-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA	12,8		
2791709-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA		114,7	
2791709-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA			80,1
2791709-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA			
2791747-2003	gnpis.lot:'CF02283'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VRR0VKWA==	CF02283	24599	2003	NA		99,2	
2791747-2003	gnpis.lot:'CF02283'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VRR0VKWA==	CF02283	24599	2003	NA			69,3
2791747-2003	gnpis.lot:'CF02283'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VRR0VKWA==	CF02283	24599	2003	NA			
2791679-2003	gnpis.lot:'EM02196'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE5Ng==	EM02196	EM02196	2003	NA		109,4	
2791679-2003	gnpis.lot:'EM02196'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE5Ng==	EM02196	EM02196	2003	NA			76,3
2791679-2003	gnpis.lot:'EM02196'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE5Ng==	EM02196	EM02196	2003	NA			
2791728-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA		104,8	
2791728-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA			100,5
2791728-2003	gnpis.lot:'EM02209'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDTDk2Rw==	EM02209	24589	2003	NA	12,5		
2791664-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA		93,8	
2791664-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA			89,9
2791664-2003	gnpis.lot:'RE01052'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMTA1Mg==	RE01052	RE01052	2003	NA	13,5		
2791669-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA		94,6	
2791669-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA			66
2791669-2003	gnpis.lot:'RE02084'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjA4NA==	RE02084	RE02084	2003	NA			
2791717-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA		118,8	
2791717-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA			82,9
2791717-2003	gnpis.lot:'EM02207'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1dEUUtQVg==	EM02207	29816	2003	NA			
2791691-2003	gnpis.lot:'RE02009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAwOQ==	RE02009	RE02009	2003	NA		102,8	
2791691-2003	gnpis.lot:'RE02009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAwOQ==	RE02009	RE02009	2003	NA			71,7
2791691-2003	gnpis.lot:'RE02009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAwOQ==	RE02009	RE02009	2003	NA			
2791693-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA		105,8	
2791693-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA			73,9
2791693-2003	gnpis.lot:'CF02170'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xWNVROQw==	CF02170	24596	2003	NA			
2791720-2003	gnpis.lot:'CF02252'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlCMVFDSg==	CF02252	24597	2003	NA		99,9	
2791720-2003	gnpis.lot:'CF02252'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlCMVFDSg==	CF02252	24597	2003	NA			95,8
2791720-2003	gnpis.lot:'CF02252'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlCMVFDSg==	CF02252	24597	2003	NA	12,7		
2791671-2003	gnpis.lot:'RE02113'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExMw==	RE02113	RE02113	2003	NA		114,7	
2791671-2003	gnpis.lot:'RE02113'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExMw==	RE02113	RE02113	2003	NA			80
2791671-2003	gnpis.lot:'RE02113'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExMw==	RE02113	RE02113	2003	NA			
2791704-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA		95,6	
2791704-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA			91,6
2791704-2003	gnpis.lot:'DI03021'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMQ==	DI03021	DI03021	2003	NA	12,3		
