observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	rdt
2	2791500-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA		101,78
2	2791500-2003	gnpis.lot:'CF02266'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VUUElXSw==	CF02266	24598	2003	NA	12,92	
1	2791519-2003	gnpis.lot:'EM02158'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1OA==	EM02158	EM02158	2003	NA		90,2
1	2791519-2003	gnpis.lot:'EM02158'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1OA==	EM02158	EM02158	2003	NA	12,95	
2	2791596-2003	gnpis.lot:'RE01047'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNXODBGUg==	RE01047	23819	2003	NA		103,22
2	2791596-2003	gnpis.lot:'RE01047'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNXODBGUg==	RE01047	23819	2003	NA	12,89	
2	2791560-2003	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2003	NA		94,46
2	2791560-2003	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2003	NA	13,02	
1	2791565-2003	gnpis.lot:'DI03022'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMg==	DI03022	DI03022	2003	NA		73,71
1	2791565-2003	gnpis.lot:'DI03022'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMg==	DI03022	DI03022	2003	NA	10,39	
2	2791532-2003	gnpis.lot:'RE02116'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjExNg==	RE02116	RE02116	2003	NA		103,53
