observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rdt	ps
1	2826226-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA			
1	2826280-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA		39,22	
1	2826280-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA			63,5
1	2826280-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA	1		
2	2826393-2007	gnpis.lot:'CF06277'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Nw==	CF06277	CF06277	2007	NA		35,12	
2	2826393-2007	gnpis.lot:'CF06277'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Nw==	CF06277	CF06277	2007	NA			66,4
2	2826393-2007	gnpis.lot:'CF06277'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Nw==	CF06277	CF06277	2007	NA	2,5		
1	2826248-2007	gnpis.lot:'RE06130'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FDU0JGVw==	RE06130	36813	2007	NA		74,87	
1	2826248-2007	gnpis.lot:'RE06130'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FDU0JGVw==	RE06130	36813	2007	NA			67,7
1	2826248-2007	gnpis.lot:'RE06130'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FDU0JGVw==	RE06130	36813	2007	NA	2		
1	2826296-2007	gnpis.lot:'DI07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxNw==	DI07017	DI07017	2007	NA		64,7	
1	2826296-2007	gnpis.lot:'DI07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxNw==	DI07017	DI07017	2007	NA			63,4
1	2826296-2007	gnpis.lot:'DI07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxNw==	DI07017	DI07017	2007	NA	1,5		
1	2826320-2007	gnpis.lot:'DI07018'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxOA==	DI07018	DI07018	2007	NA		59,77	
1	2826320-2007	gnpis.lot:'DI07018'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxOA==	DI07018	DI07018	2007	NA			65,6
1	2826320-2007	gnpis.lot:'DI07018'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxOA==	DI07018	DI07018	2007	NA	6,5		
1	2826334-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA		85,03	
1	2826334-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA			69,7
1	2826334-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA			
