observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	solution_air_pressure	solution_name	phenovation_raw_image	solution_volume	2DVIS
P_9505	NA	NA	NA	Zea_VIB_RIL_8W_12RIL8way___120	RIL_8W_12 RIL 8-way 	120	NA	2012-07-01T10:00:00Z			73.59		
P_9505	NA	NA	NA	Zea_VIB_RIL_8W_12RIL8way___120	RIL_8W_12 RIL 8-way 	120	NA	2012-07-01T10:00:00Z	6.79				
P_9505	NA	NA	NA	Zea_VIB_RIL_8W_12RIL8way___120	RIL_8W_12 RIL 8-way 	120	NA	2012-07-01T10:00:00Z		115.00			
P_9505	NA	NA	NA	Zea_VIB_RIL_8W_12RIL8way___120	RIL_8W_12 RIL 8-way 	120	NA	2012-07-01T10:00:00Z				56.21	
P_9506	NA	NA	NA	Zea_VIB_RIL_8W_EP2_68___998	RIL_8W_EP2_68	998	NA	2012-07-01T10:00:00Z			73.05		
P_9506	NA	NA	NA	Zea_VIB_RIL_8W_EP2_68___998	RIL_8W_EP2_68	998	NA	2012-07-01T10:00:00Z	3.40				
P_9506	NA	NA	NA	Zea_VIB_RIL_8W_EP2_68___998	RIL_8W_EP2_68	998	NA	2012-07-01T10:00:00Z		185.20			
P_9506	NA	NA	NA	Zea_VIB_RIL_8W_EP2_68___998	RIL_8W_EP2_68	998	NA	2012-07-01T10:00:00Z				77.44	
P_9507	NA	NA	NA	Zea_VIB_RIL_8W_EP2_71___999	RIL_8W_EP2_71	999	NA	2012-07-01T10:00:00Z			77.72		
P_9507	NA	NA	NA	Zea_VIB_RIL_8W_EP2_71___999	RIL_8W_EP2_71	999	NA	2012-07-01T10:00:00Z	4.19				
P_9507	NA	NA	NA	Zea_VIB_RIL_8W_EP2_71___999	RIL_8W_EP2_71	999	NA	2012-07-01T10:00:00Z		197.58			
P_9507	NA	NA	NA	Zea_VIB_RIL_8W_EP2_71___999	RIL_8W_EP2_71	999	NA	2012-07-01T10:00:00Z				107.20	
P_9508	NA	NA	NA	Zea_VIB_RIL_8W_63RIL8way___164	RIL_8W_63 RIL 8-way 	164	NA	2012-07-01T10:00:00Z			74.78		
P_9508	NA	NA	NA	Zea_VIB_RIL_8W_63RIL8way___164	RIL_8W_63 RIL 8-way 	164	NA	2012-07-01T10:00:00Z	6.72				
P_9508	NA	NA	NA	Zea_VIB_RIL_8W_63RIL8way___164	RIL_8W_63 RIL 8-way 	164	NA	2012-07-01T10:00:00Z		137.67			
P_9508	NA	NA	NA	Zea_VIB_RIL_8W_63RIL8way___164	RIL_8W_63 RIL 8-way 	164	NA	2012-07-01T10:00:00Z				61.33	
P_9509	NA	NA	NA	Zea_VIB_RIL_8W_EP2_76___1000	RIL_8W_EP2_76	1000	NA	2012-07-01T10:00:00Z			77.97		
P_9509	NA	NA	NA	Zea_VIB_RIL_8W_EP2_76___1000	RIL_8W_EP2_76	1000	NA	2012-07-01T10:00:00Z	5.01				
P_9509	NA	NA	NA	Zea_VIB_RIL_8W_EP2_76___1000	RIL_8W_EP2_76	1000	NA	2012-07-01T10:00:00Z		178.25			
P_9509	NA	NA	NA	Zea_VIB_RIL_8W_EP2_76___1000	RIL_8W_EP2_76	1000	NA	2012-07-01T10:00:00Z				76.84	
P_9510	NA	NA	NA	Zea_VIB_RIL_8W_88RIL8way___192	RIL_8W_88 RIL 8-way 	192	NA	2012-07-01T10:00:00Z			81.15		
P_9510	NA	NA	NA	Zea_VIB_RIL_8W_88RIL8way___192	RIL_8W_88 RIL 8-way 	192	NA	2012-07-01T10:00:00Z	8.07				
P_9510	NA	NA	NA	Zea_VIB_RIL_8W_88RIL8way___192	RIL_8W_88 RIL 8-way 	192	NA	2012-07-01T10:00:00Z		206.65			
P_9510	NA	NA	NA	Zea_VIB_RIL_8W_88RIL8way___192	RIL_8W_88 RIL 8-way 	192	NA	2012-07-01T10:00:00Z				103.50	
P_9511	NA	NA	NA	Zea_VIB_RIL_8W_44RIL8way___143	RIL_8W_44 RIL 8-way 	143	NA	2012-07-01T10:00:00Z			71.19		
P_9511	NA	NA	NA	Zea_VIB_RIL_8W_44RIL8way___143	RIL_8W_44 RIL 8-way 	143	NA	2012-07-01T10:00:00Z	6.46				
P_9511	NA	NA	NA	Zea_VIB_RIL_8W_44RIL8way___143	RIL_8W_44 RIL 8-way 	143	NA	2012-07-01T10:00:00Z		125.05			
P_9511	NA	NA	NA	Zea_VIB_RIL_8W_44RIL8way___143	RIL_8W_44 RIL 8-way 	143	NA	2012-07-01T10:00:00Z				56.55	
P_9512	NA	NA	NA	Zea_VIB_RIL_8W_EP20_15___1001	RIL_8W_EP20_15	1001	NA	2012-07-01T10:00:00Z			77.97		
P_9512	NA	NA	NA	Zea_VIB_RIL_8W_EP20_15___1001	RIL_8W_EP20_15	1001	NA	2012-07-01T10:00:00Z	8.39				
P_9512	NA	NA	NA	Zea_VIB_RIL_8W_EP20_15___1001	RIL_8W_EP20_15	1001	NA	2012-07-01T10:00:00Z		184.96			
P_9512	NA	NA	NA	Zea_VIB_RIL_8W_EP20_15___1001	RIL_8W_EP20_15	1001	NA	2012-07-01T10:00:00Z				89.29	
P_9513	NA	NA	NA	Zea_VIB_RIL_8W_EP20_17___1002	RIL_8W_EP20_17	1002	NA	2012-07-01T10:00:00Z			72.68		
P_9513	NA	NA	NA	Zea_VIB_RIL_8W_EP20_17___1002	RIL_8W_EP20_17	1002	NA	2012-07-01T10:00:00Z	10.16				
P_9513	NA	NA	NA	Zea_VIB_RIL_8W_EP20_17___1002	RIL_8W_EP20_17	1002	NA	2012-07-01T10:00:00Z		187.09			
P_9513	NA	NA	NA	Zea_VIB_RIL_8W_EP20_17___1002	RIL_8W_EP20_17	1002	NA	2012-07-01T10:00:00Z				97.47	
P_9514	NA	NA	NA	Zea_VIB_RIL_8W_EP20_24___1003	RIL_8W_EP20_24	1003	NA	2012-07-01T10:00:00Z			76.14		
P_9514	NA	NA	NA	Zea_VIB_RIL_8W_EP20_24___1003	RIL_8W_EP20_24	1003	NA	2012-07-01T10:00:00Z	6.27				
