Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_19	plant	[plant]19
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_1	plant	[plant]1
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_13	plant	[plant]13
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_14	plant	[plant]14
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_2	plant	[plant]2
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_17	plant	[plant]17
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_7	plant	[plant]7
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_16	plant	[plant]16
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_9	plant	[plant]9
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_10	plant	[plant]10
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_5	plant	[plant]5
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_11	plant	[plant]11
